Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
3-D Genesis (USA) (Proto).zip, 3-D Genesis, 5662, 4B7E402F, 2f49d12a08afec65a75324a25bfd2c39, 0760f6c239ecc427b5adcfa102c7a5c75b04fab9
3-D Ghost Attack (USA) (Proto).zip, 3-D Ghost Attack, 7834, 0AD5DA55, 57df0c124e9c0ca7c8ec73b23a9564f7, 4c833bb23c960b29fe90693564dc2c35fd641880
3-D Havoc (USA) (Proto).zip, 3-D Havoc, 4498, DC58CD04, ad66823d819b00d5e1fd64f3d77cd482, 119deb6f0bef7f2f112fb09c6f1d9706772db9b3
3-D Tic-Tac-Toe (USA).zip, 3-D Tic-Tac-Toe, 1752, 5A1E4379, 0b83f7f3ae5525e9a4ba087ced9e1bc2, 0038b7bd232106ac0705f1ec726f772cd561238b
3-D Zapper (USA) (Proto) (1982-12-15).zip, 3-D Zapper, 2131, B9C97CA1, 2a16f91e98adafeff513329c5cd083dc, e3043c165142c8d56e56b3dbd4f31ff6ca9826e3
32 in 1 Game Cartridge (Europe).zip, 32 in 1 Game Cartridge, 47174, 7EB230C0, 909d8000fb15a48b1676bba779b72316, 66d519cc3cd20a86c9b9b20a4456701f72634768
4 Game in One (Europe) (Bit Corporation).zip, 4 Game in One, 3188, FAFAEEA0, 0ea71a546d8d3197f1b24f4afcbe0fe6, 0d3ad058e791afa3a16b4043f921d9388cd4c3a5
Acid Drop (Europe).zip, Acid Drop, 4331, 6DC58202, d1b88cb5de9a95f31c0f0697c6896e38, 52d0c3c74a922956403340d43248439aadd990f3
Actionauts (USA) (Proto) (1984-06-22).zip, Actionauts, 3259, 25FEB5C0, c828d3ae038242ce38a779be9ead9445, c6c4001c6aaec29e4538744d5701b2113c859db8
Activision Decathlon, The (USA).zip, Activision Decathlon, The, 6358, 7F330A8A, 07be74c462c90a3c794936270dd53e8f, 4ee0bf1eebfe900cfe053791105f0aa32cdd4e92
Adventure (USA).zip, Adventure, 3179, 990B41BC, 3e103e11def462929a9767894008081f, 1e8c74048da3d5e05f594a69e5757f836cd836ec
Adventures of TRON (USA).zip, Adventures of TRON, 3164, 8D20799A, 90efcc0e7a9b54b366aeba977b9669e7, a8522357cf40bc10b314f3453e4dd341a8fa3df9
Air Raid (USA).zip, Air Raid, 2987, 7D72A704, e8ba803b4111b4980520e2411d4f400d, a8e62a578610b255b9701a19d7d7b7f218895296
Air Raiders (USA).zip, Air Raiders, 3305, 12337668, 040e74951e2e38c13d37177f2ec7d99f, 251e2ded552c017a74e5af8126007df994e16b9b
Air-Sea Battle ~ Target Fun (Japan, USA).zip, Air-Sea Battle ~ Target Fun, 1906, ED22DD32, 51f6fe1c3d6c43469e135f7c3196792e, da2da40e1a53d5ca0fc723da30a0bb5c2bb79b1c
Airlock (USA).zip, Airlock, 2749, EFA6BFDE, 3a0e51617d5aded405400d2ca5ac3b76, f2ef0e7e83b7b1c15010ba3e570dafa5ed7b9ae8
Alien (USA).zip, Alien, 3498, 9436FF15, 6d6e3e7b188ce16e5bde874a7782994a, 5a01c6adf7a1f12833e73acb0c51e03a47494112
Aliens Return (Europe).zip, Aliens Return, 3229, 745544D9, 05d8cb5416f998e6b0eb73d15333c47e, 7846ec0f56d31a1e3eebfcbf0ed2d51a22ca9efa
Alligator People (USA) (Proto).zip, Alligator People, 2980, 10BAAB13, 69f07295dd950b08f54ca6e0a125f01d, 056b198129d94718f131cea2a0b559fef941290b
Alpha Beam with Ernie (Japan, USA).zip, Alpha Beam with Ernie, 5924, E98F5115, c089d0e660bd5446a69b72d59954102c, a9653dfadad8e25250b5b3652d6bfb4b7ce96515
Amidar (USA).zip, Amidar, 2984, 165ACC47, c6f0d5d463ebce53819b8d150c7e7792, f9c1f7790ea96c2e68c570162c9c475fd27a556f
AndroMan on the Moon (USA) (Proto).zip, AndroMan on the Moon, 4951, 723C8DEF, d68829e9800966c42bddf7c36ff9f5fd, 23c44d3c2eb237e734579df07313c53f41f7143c
Aquaventure (USA) (Proto) (1983-08-12).zip, Aquaventure, 5424, C455056F, 02b7e9afb34d59c9ad97da9505fe7743, 6ab5477edd528c5727c474c866d399d0135d7a92
Armor Ambush (USA).zip, Armor Ambush, 2919, 2199B51D, 0cecd447214484ead14181f20a53e2e0, 289d33042d7dc97f732b18d44491622dcb8612c1
Artillery Duel (USA).zip, Artillery Duel, 4998, EBF0160D, 79d5d562254719b819bf15b90c14e411, 1ea0b1d62d93ecf1186f11f7d9d17704b96a8989
Assault (USA).zip, Assault, 3153, 79902AA5, 38e5798467ff7b181638a52caf13e125, e3cedf02a00ffcf98701092c1d2a7d0a912b2189
Asteroids (Japan, USA).zip, Asteroids, 5573, 2A1088AA, 01336ec31189ef1eb50a2ddbc366086b, b35a67f4183d835346e2961c344759c128bf1cb2
Astroblast (USA) (v1.1).zip, Astroblast, 2918, 6820A168, dde7a86759dbc5d41081ddda95f5f4e6, dff0ca167a71cf93ecbb1ac82026630ea80bea3c
Atlantis (USA).zip, Atlantis, 3198, 5639856A, 63634129b7cd78a5bd929e61aec86ebf, 5015af237d734bffd3a4f5eddcbfd1df32f9d4b6
Atlantis II (USA).zip, Atlantis II, 3164, F1E8398C, 1e625a4307d6d2b7ec1985624680c400, 2a09bf6feda07c156d192d9dc43244ae87413eb6
Atom Smasher (USA) (Proto).zip, Atom Smasher, 5420, 998BD15D, 97e981a71ea6edd71d614fe88583e799, 92e9939362862bd9bce99e34a3e33de94ef34a77
BASIC Programming (USA).zip, BASIC Programming, 3160, 3ADC7537, 12bfc6fdf6f8ffaf2aa82b47650d624a, 4bbc060aa80ea0b96112eb742cd008053bf95994
BMX Air Master (USA).zip, BMX Air Master, 9985, F3F827D0, e082354ac6d0d983dca04ee6ca7bed2e, 1237bd7ce80e14067806c9da978fe8bcb0db94bc
Bachelor Party (USA).zip, Bachelor Party, 2365, CE1F18F2, dc7d4d484989c2d398d7e5bba7176010, 4b28edb4473252793fe653b12493fa64d19f107b
Bachelorette Party (USA).zip, Bachelorette Party, 2396, DEDC1374, a401db64c5f1cecdf59c18da54fae0b0, cc78f56490cec8671f8e080f7366c844f0a79028
Backgammon (USA).zip, Backgammon, 3373, ADA4B0B4, 30b7f9926f259ae479531db9672c8657, 216b4e6fcf81a2b790bb76eae2fa206691b876de
Bank Heist (USA).zip, Bank Heist, 3157, B30B8D34, 9702f982d1d5bf4e326f3d5d6adeb4a2, 51cdbd1ef6c6348621690d1bac202be725c56742
Barnstorming (USA).zip, Barnstorming, 2898, D3DD7DA0, 3c308bd7b2b8843b11a92efdda7202b0, 6f7dc018c0e411eff21d61ac911843c9dc9f16d6
Base Attack (Europe).zip, Base Attack, 3231, 46612985, 4cced4425d2133dbf80a36bfd8326f97, a64a3e71c95ea6bd4a910cf58040aaebe299414a
Basic Math (USA).zip, Basic Math, 1848, 718305A5, e01200b315bc581ed8b6936f27dcd6a3, b4fcbc6d8b379ec78de3a61f091d594e04086ac9
Basketball (USA).zip, Basketball, 1884, 341CCD31, 20939f9a7e015ebc316fc71324235116, a17411eb7817525e9238df18cc2e6660d51cbc04
Battlezone (Japan, USA).zip, Battlezone, 5890, BCAFE565, 7106b7f168a9661292b7144f5c42e43b, 9014bc3cf22d9c5d1861b37cb3dc29ab07b6cee2
Beamrider (USA).zip, Beamrider, 6240, C8B2B880, a74892ac10c7915ab0400770a73427ba, c2d22b8237466c95fd384ac4a1c7947bdd5ea016
Beany Bopper (USA).zip, Beany Bopper, 2918, A25A5E9B, 63cbcfd6389541dfe63054a3a4286219, 7457a64d62f95cc89c13a80b2a7799b361ae5ce4
Beat'Em & Eat'Em (USA).zip, Beat'Em & Eat'Em, 2753, 4B951060, 3b32380b669a9d654a7526be202f70ba, 33435a85b653480c398c218ef3d6b7804728efdd
Berenstain Bears (USA).zip, Berenstain Bears, 5321, BB4141A3, e60d6754da3053885a266dbee3f3eaf5, 6dd70f50e6b39651f8c31c57812a3962c1084b30
Bermuda Triangle (USA).zip, Bermuda Triangle, 3336, 184CAFFE, ea85149fb757d687aa1a702dd812787c, aa7433a637e5e1fd197bd9cbffd9bf4ca10aafba
Berzerk (Japan, USA).zip, Berzerk, 2942, B61FA075, a36fccff1f29d5bf99b1e8025110e479, 02ad4f096c0ccf77040f17160490b87bd36cc45f
Big Bird's Egg Catch (Japan, USA).zip, Big Bird's Egg Catch, 5833, DC91AFD1, feed9192784162df33d449b404c8e9d5, a61b406f0c6f866fe2171d2e33cae34a95400a6c
Bionic Breakthrough (USA) (Proto).zip, Bionic Breakthrough, 5118, CEC57E70, 2afef213d847d43430cf9dfe2e6440e4, 69ed6265ae670aa5e3fff24b542be17446d0b4ad
Black Jack (USA).zip, Black Jack, 1881, B1C21E12, 974e93f95076866dc0edd013da327039, 5efae1999799f643f3dcddfca53dc9fa2e31ef2d
Blueprint (USA).zip, Blueprint, 5236, 304FC918, ad4a8c62e006b89b31b6a2fa6f4b99cb, a7ae2c38f4a8d30beb10313d4ab02314d5de620e
Bobby is Going Home (USA).zip, Bobby is Going Home, 3217, DF12381D, c61e7d8aec1202352260162b6968bf6b, 43811acaed72bdb04d4b3ddbb924d4c55905e36a
Boggle (USA) (Proto) (1978-08-07).zip, Boggle, 1687, F2C2551C, f43a5d58a0836ebdba8bb4eb0b5e0699, 87d8839e12284ea7f324324a92f5b78cab59ede9
Boing! (USA).zip, Boing!, 3198, 631855CC, 011e1426e0f39fb772995187f486eb45, 72424c5d08514d322ff57ea024223d872acd3ec7
Bouncin' Baby Bunnies (USA) (Proto).zip, Bouncin' Baby Bunnies, 3125, 7F70D046, d6c95426fcdb7c8a15fa94204bb353e1, 945e58aae2c0dd3966692232f9f33f32bc95f3ec
Bowling (USA).zip, Bowling, 1824, 607BD334, 493a31905de32fdb6738010311db2aba, 82f43b9bdc353ca3ab3997960efdd8e8a32e1f09
Boxing (USA).zip, Boxing, 1915, 00F9389E, ecb616650e8092ca299e3b208ca5b419, ca01fc257e92bd4c549e526321e502e7a33a9834
Brain Games (USA).zip, Brain Games, 1862, 8681616F, 00807fc0c64f9aec632a40e1d1397d55, dd6cfb55fb66b20f0bff08c49ab8b2116f2c0fee
Breakout ~ Breakaway IV (Japan, USA).zip, Breakout ~ Breakaway IV, 1927, 88BCF143, 100fa01a123332f2ae58035029f01496, b026d17de79df4f9198fadcf2c2fb7323baca1ec
Bridge (USA) (v1.1).zip, Bridge, 3529, FBBDDC1A, d6076d8bda61f83dbe6a007d3d582cc1, 209caca9433b209c0e593065027a6a2867c18964
Buck Rogers - Planet of Zoom (USA).zip, Buck Rogers - Planet of Zoom, 5366, 1BC120F1, 7630fae769c7c290438c9b8eff520b5b, 60e70a32d6eea84a0b18ea2f4b4b061f3d424bbe
Bugs (USA).zip, Bugs, 2548, B83123B7, 43dea0bb03170f9c6a6f8390d6f47f09, 8c585dfdd00ac2345b7f6aead2821926daead096
Bugs Bunny (USA) (Proto 2).zip, Bugs Bunny, 5351, A6282F9C, 03973ab80be62c4c3fc65a1217880249, 02f3cb12cb96921f4c33ae52e8f5fffed468cee1
Bump 'n' Jump (USA).zip, Bump 'n' Jump, 5201, CC108682, a71d3caa1eb147452174b8ba8bc36d21, 3308963ead704010baa0adacb8ea80523e0f0b1b
Bumper Bash (USA).zip, Bumper Bash, 3127, 7971D059, 1360c910dc4d01f8054eeabb6cf91006, 7a9ec8265420c6407bf4fb5d7578f6f993fd23d8
BurgerTime (USA).zip, BurgerTime, 6774, 0DCA9EB8, c8615b659325a9f953c70c30073e428c, 7c57c218fbbfd59bc58717966064d9b82689bb85
